id,date,postcode,property_type,whether_old_or_new,freehold_or_leasehold,address1,address2,address3,town,local_aut,county,region,type1,type2,postcode_short,price,total_floor_area,number_habitable_rooms,current_energy_rating,co2_emissions_current,co2_emissions_potential,energy_consumption_current,energy_consumption_potential,windows_energy_eff,tenure,district,population,households,latitude,longitude,altitude,london_zone,nearest_station,distance_to_station,water_company,average_income,pricePerSqmtr,area,,,,
{CFC9085C-8B33-9A70-E053-6B04A8C09D6A},2021-06-28T00:00:00Z,RM10 7LA,T,N,F,10,NA,MARSTON AVENUE,NA,DAGENHAM,BARKING AND DAGENHAM,GREATER LONDON,A,A,RM10,325000,72.23,5,C,2.6,2.5,192,182,Average,owner-occupied,Barking and Dagenham,40,18,51.551978,0.152109,12,5,Dagenham Heathway,1.23487,Essex & Suffolk Water,38000,4499.515437,72.23,,,,
{8E66F010-4ACB-4B6D-89A7-EECB60BD81F3},2005-10-28T00:00:00Z,N2 0RW,S,N,F,1,NA,CHURCH MOUNT,LONDON,LONDON,BARNET,GREATER LONDON,A,A,N2,1200000,474,12,C,12,9.4,127,102,Good,rental (private),Barnet,66,20,51.582607,-0.171949,79,3,East Finchley,0.723336,Affinity Water,71600,2531.64557,474.00,,,Column1,
{F551539A-33DB-4213-B150-09D9B99F012A},2007-03-02T00:00:00Z,N21 1EL,D,N,F,33,NA,EVERSLEY CRESCENT,LONDON,LONDON,ENFIELD,GREATER LONDON,A,A,N21,950000,470.5,NaN,C,8.1,7.6,106,99,Good,NA,Enfield,81,27,51.640864,-0.108647,44,5,Grange Park,0.802139,Thames Water,65200,2019.128587,470.50,,,,
{55E796D9-72B1-4A9D-AAD5-6B0556411012},2014-06-24T00:00:00Z,SW3 6LR,T,N,F,6,NA,MANRESA ROAD,NA,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,SW3,11575000,463,11,E,22,11,242,117,Poor,owner-occupied,Kensington and Chelsea,20,6,51.48771,-0.171383,12,1,South Kensington,0.728393,Thames Water,58100,25000,463.00,,,Mean,477153.8044
{B3B854FB-222C-49B3-AA2A-AC6FE4374D50},2005-10-07T00:00:00Z,SW13 0HS,D,N,F,TROCKSMILL COTTAGE,NA,MILL HILL,NA,LONDON,RICHMOND UPON THAMES,GREATER LONDON,A,A,SW13,3300000,452,13,C,11,9.5,132,109,Good,rental (private),Richmond upon Thames,32,15,51.469971,-0.240397,11,3,Barnes,0.335624,Thames Water,66100,7300.884956,452.00,,,Standard Error,5334.134514
{61BA3ED7-03AE-4402-BF67-57A16775F3A8},2014-05-15T00:00:00Z,W10 6PA,T,N,F,48,NA,ST QUINTIN AVENUE,NA,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,W10,6350000,439,11,E,20,14,241,160,Good,unknown,Kensington and Chelsea,164,81,51.519996,-0.222937,15,2,Latimer Road,0.770453,Thames Water,47300,14464.69248,439.00,,,Median,350000
{75050A85-AA8B-9A88-E053-6B04A8C02390},2018-07-27T00:00:00Z,SE19 2RQ,D,N,F,134,NA,AUCKLAND ROAD,NA,LONDON,CROYDON,GREATER LONDON,A,A,SE19,2400000,438,11,D,17,7.7,218,99,Poor,owner-occupied,Croydon,61,27,51.4137,-0.076362,85,3,Crystal Palace,0.554504,Thames Water,54100,5479.452055,438.00,,,Mode,250000
{6870E751-583B-43D7-BA85-AC9C3778F44D},2010-03-09T00:00:00Z,KT3 3UW,D,N,F,2A,NA,CROWN ROAD,NA,NEW MALDEN,KINGSTON UPON THAMES,GREATER LONDON,A,A,KT3,750000,437,NaN,B,4.4,3.4,57,44,Very Good,unknown,Kingston upon Thames,36,10,51.413664,-0.268402,26,5,Norbiton,1.09247,Thames Water,63800,1716.24714,437.00,,,Standard Deviation,533413.4514
{D464B019-6C81-4A62-B396-542472FA8255},2014-09-25T00:00:00Z,BR7 5LX,D,N,F,WEST WITHERIDGE,NA,PRINCE IMPERIAL ROAD,NA,CHISLEHURST,BROMLEY,GREATER LONDON,A,A,BR7,1800000,428.64,14,F,45,43,432,406,Very Poor,owner-occupied,Bromley,82,43,51.41474,0.068444,95,5,Chislehurst,1.26811,Thames Water,72000,4199.328108,428.64,,,Sample Variance,2.8453E+11
{60CDFB86-6261-405D-9B86-7EE14FA14338},2012-07-10T00:00:00Z,NW1 4JX,F,N,L,9,APARTMENT 1,CAMBRIDGE GATE,NA,LONDON,CAMDEN,GREATER LONDON,A,A,NW1,8250000,422,9,C,12,12,152,147,Very Poor,owner-occupied,Camden,84,31,51.526504,-0.145105,38,1,Regents Park,0.29974,Thames Water,51300,19549.76303,422.00,,,Kurtosis,157.1616772
